pair_id,scope_type,context,target
1,Distributive (Multiple),"A group of children went to the park. Each child found a different massive tree they liked. Therefore, ",every child climbed a tree.
1,Cumulative (Single),"A group of children went to the park. There was only one massive tree in the center. Therefore, ",every child climbed a tree.
2,Distributive (Multiple),"A group of children went to the park. Each child found a different huge tree they liked. Therefore, ",every child climbed a tree.
2,Cumulative (Single),"A group of children went to the park. There was only one huge tree in the center. Therefore, ",every child climbed a tree.
3,Distributive (Multiple),"A group of children went to the park. Each child found a different gigantic tree they liked. Therefore, ",every child climbed a tree.
3,Cumulative (Single),"A group of children went to the park. There was only one gigantic tree in the center. Therefore, ",every child climbed a tree.
4,Distributive (Multiple),"A group of children went to the park. Each child found a different large tree they liked. Therefore, ",every child climbed a tree.
4,Cumulative (Single),"A group of children went to the park. There was only one large tree in the center. Therefore, ",every child climbed a tree.
5,Distributive (Multiple),"A group of children went to the park. Each child found a different enormous tree they liked. Therefore, ",every child climbed a tree.
5,Cumulative (Single),"A group of children went to the park. There was only one enormous tree in the center. Therefore, ",every child climbed a tree.
6,Distributive (Multiple),"A group of dogs went to the yard. Each dog found a different massive bone they liked. Therefore, ",every dog chewed a bone.
6,Cumulative (Single),"A group of dogs went to the yard. There was only one massive bone in the center. Therefore, ",every dog chewed a bone.
7,Distributive (Multiple),"A group of dogs went to the yard. Each dog found a different huge bone they liked. Therefore, ",every dog chewed a bone.
7,Cumulative (Single),"A group of dogs went to the yard. There was only one huge bone in the center. Therefore, ",every dog chewed a bone.
8,Distributive (Multiple),"A group of dogs went to the yard. Each dog found a different gigantic bone they liked. Therefore, ",every dog chewed a bone.
8,Cumulative (Single),"A group of dogs went to the yard. There was only one gigantic bone in the center. Therefore, ",every dog chewed a bone.
9,Distributive (Multiple),"A group of dogs went to the yard. Each dog found a different large bone they liked. Therefore, ",every dog chewed a bone.
9,Cumulative (Single),"A group of dogs went to the yard. There was only one large bone in the center. Therefore, ",every dog chewed a bone.
