id,premises,conclusion,label,caroline_premises,caroline_conclusion,domain_shift_premises,domain_shift_conclusion,ans_orig_zero,ans_caroline_zero,ans_domain_zero,ans_caroline_cot
0,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Bonnie either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ",Bonnie performs in school talent shows often.,Uncertain,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Tumtum either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ",Tumtum performs in school talent shows often.,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Mitochondria either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ",Mitochondria performs in school talent shows often.,Uncertain,Uncertain,Uncertain,Uncertain
1,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Bonnie either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ","If Bonnie is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Bonnie is either a student who attends the school or is an inactive and disinterested member of the community.",True,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Gyre either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ","If Gyre is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Gyre is either a student who attends the school or is an inactive and disinterested member of the community.","If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Mitochondria either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ","If Mitochondria is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Mitochondria is either a student who attends the school or is an inactive and disinterested member of the community.",True,True,True,Uncertain
2,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Bonnie either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ","If Bonnie either chaperones high school dances or, if she does not, she performs in school talent shows often, then Bonnie is both a young child or teenager who wishes to further her academic career and educational opportunities and an inactive and disinterested member of the community.",False,"If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Tweequ either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ","If Tweequ either chaperones high school dances or, if she does not, she performs in school talent shows often, then Tweequ is both a young child or teenager who wishes to further her academic career and educational opportunities and an inactive and disinterested member of the community.","If people perform in school talent shows often, then they attend and are very engaged with school events. People either perform in school talent shows often or are inactive and disinterested members of their community. If people chaperone high school dances, then they are not students who attend the school. All people who are inactive and disinterested members of their community chaperone high school dances. All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school. Enzyme either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ","If Enzyme either chaperones high school dances or, if she does not, she performs in school talent shows often, then Enzyme is both a young child or teenager who wishes to further her academic career and educational opportunities and an inactive and disinterested member of the community.",Uncertain,Uncertain,Uncertain,True
3,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Employees will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  James is either a manager and appears in the company today or neither a manager nor appears in the company today.",James has lunch in the company.,Uncertain,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Snark will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  Rath is either a manager and appears in the company today or neither a manager nor appears in the company today.",Rath has lunch in the company.,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Photon will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  Chromosome is either a manager and appears in the company today or neither a manager nor appears in the company today.",Chromosome has lunch in the company.,Uncertain,Uncertain,Uncertain,Uncertain
4,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Employees will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  James is either a manager and appears in the company today or neither a manager nor appears in the company today.",James does not have lunch in the company.,Uncertain,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Rath will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  Mome is either a manager and appears in the company today or neither a manager nor appears in the company today.",Mome does not have lunch in the company.,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Proton will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  Ribosome is either a manager and appears in the company today or neither a manager nor appears in the company today.",Ribosome does not have lunch in the company.,True,True,True,Uncertain
5,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Employees will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  James is either a manager and appears in the company today or neither a manager nor appears in the company today.","If James is either a manager or in other countries,  then James either has lunch at home and works remotely from home, or neither has lunch at home nor works remotely from home.",True,"All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Bandersnatch will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  Tweequ is either a manager and appears in the company today or neither a manager nor appears in the company today.","If Tweequ is either a manager or in other countries,  then Tweequ either has lunch at home and works remotely from home, or neither has lunch at home nor works remotely from home.","All employees who schedule a meeting with their customers will appear in the company today.  Everyone who has lunch in the company schedules meetings with their customers.  Neutron will either have lunch in the company or have lunch at home. If an employee has lunch at home, then he/she is working remotely from home. All employees who are in other countries work remotely from home.  No managers work remotely from home.  Photon is either a manager and appears in the company today or neither a manager nor appears in the company today.","If Photon is either a manager or in other countries,  then Photon either has lunch at home and works remotely from home, or neither has lunch at home nor works remotely from home.",True,True,True,Uncertain
6,"Monkeypox is an infectious disease caused by the monkeypox virus. Monkeypox virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Monkeypox include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",There is an animal.,True,"Mome is an infectious disease caused by the monkeypox virus. Mome virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Mome include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",There is an animal.,"Ribosome is an infectious disease caused by the monkeypox virus. Ribosome virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Ribosome include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",There is an animal.,True,Uncertain,Uncertain,Uncertain
7,"Monkeypox is an infectious disease caused by the monkeypox virus. Monkeypox virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Monkeypox include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",No one gets flu.,Uncertain,"Rath is an infectious disease caused by the monkeypox virus. Rath virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Rath include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",No one gets flu.,"Photon is an infectious disease caused by the monkeypox virus. Photon virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Photon include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",No one gets flu.,Uncertain,Uncertain,Uncertain,Uncertain
8,"Monkeypox is an infectious disease caused by the monkeypox virus. Monkeypox virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Monkeypox include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",Symptons of Monkeypox include coughing.,Uncertain,"Bandersnatch is an infectious disease caused by the monkeypox virus. Bandersnatch virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Bandersnatch include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",Symptons of Bandersnatch include coughing.,"Quark is an infectious disease caused by the monkeypox virus. Quark virus can occur in certain animals, including humans. Humans are mammals. Mammals are animals. Symptons of Quark include fever, headache, muscle pains, feeling tired, and so on. People feel tired when they get a glu.",Symptons of Quark include coughing.,Uncertain,Uncertain,Uncertain,Uncertain
9,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey. Tom is not an Eastern wild turkey. Tom is not an Osceola wild turkey. Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey. Tom is a wild turkey.",Tom is an Ocellated wild turkey.,True,"There are six types of wild turkeys: Vorpal wild turkey, Jubjub wild turkey, Bandersnatch’s wild turkey, Jabberwock wild turkey, Gyre wild turkey, and Tumtum wild turkey. Mome is not an Vorpal wild turkey. Mome is not an Jubjub wild turkey. Mome is also not a Bandersnatch's wild turkey, or a Rath's wild turkey, or a Gyre wild turkey. Mome is a wild turkey.",Mome is an Tumtum wild turkey.,"There are six types of wild turkeys: Ribosome wild turkey, Neutron wild turkey, Nebula’s wild turkey, Electron wild turkey, Galaxy wild turkey, and Enzyme wild turkey. Photon is not an Ribosome wild turkey. Photon is not an Neutron wild turkey. Photon is also not a Nebula's wild turkey, or a Quark's wild turkey, or a Galaxy wild turkey. Photon is a wild turkey.",Photon is an Enzyme wild turkey.,True,True,True,True
